page_num	status	char_count	prompt_version	profile	markdown_artifact_uri	error_code
1	done	121	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-001/artifact/001	
2	done	52	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-002/artifact/001	
3	done	900	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-003/artifact/001	
4	done	2073	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-004/artifact/001	
5	done	856	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-005/artifact/001	
6	done	3201	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-006/artifact/001	
7	done	818	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-007/artifact/001	
8	done	3061	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-008/artifact/001	
9	done	2670	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-009/artifact/001	
10	done	1982	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-010/artifact/001	
11	done	2181	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-011/artifact/001	
12	done	2165	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-012/artifact/001	
13	done	207	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-013/artifact/001	
14	done	2270	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-014/artifact/001	
15	done	409	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-015/artifact/001	
16	done	2361	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-016/artifact/001	
17	done	357	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-017/artifact/001	
18	done	2205	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-018/artifact/001	
19	done	1920	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-019/artifact/001	
20	done	2107	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-020/artifact/001	
21	done	191	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-021/artifact/001	
22	done	1911	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-022/artifact/001	
23	done	2204	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-023/artifact/001	
24	done	2391	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-024/artifact/001	
25	done	2385	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-025/artifact/001	
26	done	2420	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-026/artifact/001	
27	done	2416	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-027/artifact/001	
28	done	2377	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-028/artifact/001	
29	done	538	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-029/artifact/001	
30	done	1656	ocr-quality-v4-report794-lexicon	gpt-5-mini-low	file:///tmp/book-ocr-hq-001/007-quality-v4-mini-pages-001-030/artifacts/ocr-page-030/artifact/001	
